,FeatureImportances,FeatureNames
154,5.36610828058948e-06,cat__HUC8_18-020151
155,1.4633497631230548e-05,cat__HUC8_18-020152
156,4.795072112153755e-05,cat__HUC8_18-020153
157,0.0007379292441097025,cat__HUC8_18-020154
158,0.00017839381541772726,cat__HUC8_18-020155
159,0.0027309619563499997,cat__HUC8_18-020156
160,0.00013709568390750677,cat__HUC8_18-020157
161,0.0002847732435403814,cat__HUC8_18-020158
162,0.001272301992936012,cat__HUC8_18-020159
163,7.562676357678505e-05,cat__HUC8_18-020161
164,0.0005474875512302423,cat__HUC8_18-020162
165,0.0007553960862536806,cat__HUC8_18-020163
166,0.0006965283474676309,cat__HUC8_18-030001
167,0.0005056906056558927,cat__HUC8_18-030002
168,0.0032972562650039794,cat__HUC8_18-030003
169,0.0007560196499558225,cat__HUC8_18-030004
170,0.004458586108627358,cat__HUC8_18-030005
171,0.002084622459224238,cat__HUC8_18-030006
172,0.003367477333781532,cat__HUC8_18-030007
173,0.005315021166389003,cat__HUC8_18-030009
174,3.347769835683897e-05,cat__HUC8_18-030010
175,0.0028112140241508747,cat__HUC8_18-030012
176,0.0025474903788896353,cat__HUC8_18-040001
177,0.002104512896227875,cat__HUC8_18-040002
178,0.0011026704018980093,cat__HUC8_18-040003
179,0.0015608422128258086,cat__HUC8_18-040006
180,0.00037271945852931454,cat__HUC8_18-040007
181,0.00025425036972553114,cat__HUC8_18-040008
182,0.0016310598618651353,cat__HUC8_18-040009
183,0.0007169964607577974,cat__HUC8_18-040010
184,0.0001995613008648856,cat__HUC8_18-040011
185,0.0010537275115757526,cat__HUC8_18-040012
186,1.2478377300931119e-05,cat__HUC8_18-040013
187,4.89604688201943e-05,cat__HUC8_18-040051
188,0.00015348094385370185,cat__HUC8_18-050001
189,0.0006597565938321587,cat__HUC8_18-050002
190,0.00020263329303836267,cat__HUC8_18-050003
191,0.00013268308518377733,cat__HUC8_18-050004
192,0.0016918522815216647,cat__HUC8_18-050005
193,0.0008369568766656763,cat__HUC8_18-050006
194,0.0006939970466480361,cat__HUC8_18-060002
195,0.0,cat__HUC8_18-060004
196,0.0002557234167332246,cat__HUC8_18-060005
197,0.001031575071066487,cat__HUC8_18-060006
198,3.70305502284227e-05,cat__HUC8_18-060007
199,0.0005860934911438993,cat__HUC8_18-060008
200,3.6915665933807987e-06,cat__HUC8_18-060009
201,2.5766230584468864e-05,cat__HUC8_18-060010
202,0.0005420674602742785,cat__HUC8_18-060013
203,0.0013338309244482534,cat__HUC8_18-060015
204,0.0009018366725615713,cat__HUC8_18-070101
205,0.0010015081752142115,cat__HUC8_18-070102
206,7.36317935077072e-05,cat__HUC8_18-070103
207,1.1570874169895888e-06,cat__HUC8_18-070104
208,4.1039051192090495e-05,cat__HUC8_18-070105
209,0.00010650643584562767,cat__HUC8_18-070106
210,4.550239936645072e-06,cat__HUC8_18-070107
211,2.317388138071652e-07,cat__HUC8_18-070201
212,1.051048335149032e-05,cat__HUC8_18-070202
213,0.00021366193500794547,cat__HUC8_18-070203
214,3.423335712766448e-08,cat__HUC8_18-070204
215,2.5827571613330645e-07,cat__HUC8_18-070301
216,9.325891011323619e-05,cat__HUC8_18-070302
